Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time,Class
1,CCAFS,Dragon Spacecraft Qualification Unit,0.0,LEO,SpaceX,Success,F9 v1.0B0003.1,Failure,4 June 2010,18:45,0
2,CCAFS,Dragon,0.0,LEO,NASA,Success,F9 v1.0B0004.1,Failure,8 December 2010,15:43,0
3,CCAFS,Dragon,525.0,LEO,NASA,Success,F9 v1.0B0005.1,No attempt,22 May 2012,07:44,0
4,CCAFS,SpaceX CRS-1,4700.0,LEO,NASA,Success,F9 v1.0B0006.1,No attempt,8 October 2012,00:35,0
5,CCAFS,SpaceX CRS-2,4877.0,LEO,NASA,Success,F9 v1.0B0007.1,No attempt,1 March 2013,15:10,0
6,VAFB,CASSIOPE,500.0,Polar orbit,MDA,Success,F9 v1.1B1003,Uncontrolled,29 September 2013,16:00,0
7,CCAFS,SES-8,3170.0,GTO,SES,Success,F9 v1.1,No attempt,3 December 2013,22:41,0
8,CCAFS,Thaicom 6,3325.0,GTO,Thaicom,Success,F9 v1.1,No attempt,6 January 2014,22:06,0
9,Cape Canaveral,SpaceX CRS-3,2296.0,LEO,NASA,Success,F9 v1.1,Controlled,18 April 2014,19:25,1
10,Cape Canaveral,Orbcomm-OG2,1316.0,LEO,Orbcomm,Success,F9 v1.1,Controlled,14 July 2014,15:15,1
11,Cape Canaveral,AsiaSat 8,4535.0,GTO,AsiaSat,Success,F9 v1.1,No attempt,5 August 2014,08:00,0
12,Cape Canaveral,AsiaSat 6,4428.0,GTO,AsiaSat,Success,F9 v1.1,No attempt,7 September 2014,05:00,0
13,Cape Canaveral,SpaceX CRS-4,2216.0,LEO,NASA,Success,F9 v1.1,Uncontrolled,21 September 2014,05:52,0
14,Cape Canaveral,SpaceX CRS-5,2395.0,LEO,NASA,Success,F9 v1.1,Failure,10 January 2015,09:47,0
15,Cape Canaveral,DSCOVR,570.0,HEO,USAF,Success,F9 v1.1,Controlled,11 February 2015,23:03,1
16,Cape Canaveral,ABS-3A,4159.0,GTO,ABS,Success,F9 v1.1,No attempt,2 March 2015,03:50,0
17,Cape Canaveral,SpaceX CRS-6,1898.0,LEO,NASA,Success,F9 v1.1,Failure,14 April 2015,20:10,0
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,4707.0,GTO,,Success,F9 v1.1,No attempt,27 April 2015,23:03,0
19,Cape Canaveral,SpaceX CRS-7,1952.0,LEO,NASA,Failure,F9 v1.1,Precluded,28 June 2015,14:21,0
20,Cape Canaveral,Orbcomm-OG2,2034.0,LEO,Orbcomm,Success,F9 FT,Success,22 December 2015,01:29,1
